0x1F600	:grinning_face:
0x1F603	:grinning_face_with_big_eyes:
0x1F604	:grinning face with smiling eyes:
0x1F601	:beaming face with smiling eyes:
0x1F606	:grinning squinting face:
0x1F605	:grinning face with sweat:
0x1F923	:rolling on the floor laughing:
0x1F602	:face with tears of joy:
0x1F642	:slightly smiling face:
0x1F643	:upside-down face:
0x1F609	:winking face:
0x1F60A	:smiling face with smiling eyes:
0x1F607	:smiling face with halo:
0x1F970	:smiling face with hearts:
0x1F60D	:smiling face with heart-eyes:
0x1F929	:star-struck:
0x1F618	:face blowing a kiss:
0x1F617	:kissing face:
0x263A	:smiling face:
0x1F61A	:kissing face with closed eyes:
0x1F619	:kissing face with smiling eyes:
0x1F60B	:face savoring food:
0x1F61B	:face with tongue:
0x1F61C	:winking face with tongue:
0x1F92A	:zany face:
0x1F61D	:squinting face with tongue:
0x1F911	:money-mouth face:
0x1F917	:hugging face:
0x1F92D	:face with hand over mouth:
0x1F92B	:shushing face:
0x1F914	:thinking face:
0x1F910	:zipper-mouth face:
0x1F928	:face with raised eyebrow:
0x1F610	:neutral face:
0x1F611	:expressionless face:
0x1F636	:face without mouth:
0x1F60F	:smirking face:
0x1F612	:unamused face:
0x1F644	:face with rolling eyes:
0x1F62C	:grimacing face:
0x1F925	:lying face:
0x1F60C	:relieved face:
0x1F614	:pensive face:
0x1F62A	:sleepy face:
0x1F924	:drooling face:
0x1F634	:sleeping face:
0x1F637	:face with medical mask:
0x1F912	:face with thermometer:
0x1F915	:face with head-bandage:
0x1F922	:nauseated face:
0x1F92E	:face vomiting:
0x1F927	:sneezing face:
0x1F975	:hot face:
0x1F976	:cold face:
0x1F974	:woozy face:
0x1F635	:dizzy face:
0x1F92F	:exploding head:
0x1F920	:cowboy hat face:
0x1F973	:partying face:
0x1F60E	:smiling face with sunglasses:
0x1F913	:nerd face:
0x1F9D0	:face with monocle:
0x1F615	:confused face:
0x1F61F	:worried face:
0x1F641	:slightly frowning face:
0x2639	:frowning face:
0x1F62E	:face with open mouth:
0x1F62F	:hushed face:
0x1F632	:astonished face:
0x1F633	:flushed face:
0x1F97A	:pleading face:
0x1F626	:frowning face with open mouth:
0x1F627	:anguished face:
0x1F628	:fearful face:
0x1F630	:anxious face with sweat:
0x1F625	:sad but relieved face:
0x1F622	:crying face:
0x1F62D	:loudly crying face:
0x1F631	:face screaming in fear:
0x1F616	:confounded face:
0x1F623	:persevering face:
0x1F61E	:disappointed face:
0x1F613	:downcast face with sweat:
0x1F629	:weary face:
0x1F62B	:tired face:
0x1F971	:⊛ yawning face:
0x1F624	:face with steam from nose:
0x1F621	:pouting face:
0x1F620	:angry face:
0x1F92C	:face with symbols on mouth:
0x1F608	:smiling face with horns:
0x1F47F	:angry face with horns:
0x1F480	:skull:
0x2620	:skull and crossbones:
0x1F4A9	:pile of poo:
0x1F921	:clown face:
0x1F479	:ogre:
0x1F47A	:goblin:
0x1F47B	:ghost:
0x1F47D	:alien:
0x1F47E	:alien monster:
0x1F916	:robot:
0x1F63A	:grinning cat:
0x1F638	:grinning cat with smiling eyes:
0x1F639	:cat with tears of joy:
0x1F63B	:smiling cat with heart-eyes:
0x1F63C	:cat with wry smile:
0x1F63D	:kissing cat:
0x1F640	:weary cat:
0x1F63F	:crying cat:
0x1F63E	:pouting cat:
0x1F648	:see-no-evil monkey:
0x1F649	:hear-no-evil monkey:
0x1F64A	:speak-no-evil monkey:
0x1F48B	:kiss mark:
0x1F48C	:love letter:
0x1F498	:heart with arrow:
0x1F49D	:heart with ribbon:
0x1F496	:sparkling heart:
0x1F497	:growing heart:
0x1F493	:beating heart:
0x1F49E	:revolving hearts:
0x1F495	:two hearts:
0x1F49F	:heart decoration:
0x2763	:heart exclamation:
0x1F494	:broken heart:
0x2764	:red heart:
0x1F9E1	:orange heart:
0x1F49B	:yellow heart:
0x1F49A	:green heart:
0x1F499	:blue heart:
0x1F49C	:purple heart:
0x1F90E	:⊛ brown heart:
0x1F5A4	:black heart:
0x1F90D	:⊛ white heart:
0x1F4AF	:hundred points:
0x1F4A2	:anger symbol:
0x1F4A5	:collision:
0x1F4AB	:dizzy:
0x1F4A6	:sweat droplets:
0x1F4A8	:dashing away:
0x1F573	:hole:
0x1F4A3	:bomb:
0x1F4AC	:speech balloon:
0x1F441 0xFE0F 0x200D 0x1F5E8 0xFE0F	:eye in speech bubble:
0x1F5E8	:left speech bubble:
0x1F5EF	:right anger bubble:
0x1F4AD	:thought balloon:
0x1F4A4	:zzz:
0x1F44B	:waving hand:
0x1F91A	:raised back of hand:
0x1F590	:hand with fingers splayed:
0x270B	:raised hand:
0x1F596	:vulcan salute:
0x1F44C	:OK hand:
0x1F90F	:⊛ pinching hand:
0x270C	:victory hand:
0x1F91E	:crossed fingers:
0x1F91F	:love-you gesture:
0x1F918	:sign of the horns:
0x1F919	:call me hand:
0x1F448	:backhand index pointing left:
0x1F449	:backhand index pointing right:
0x1F446	:backhand index pointing up:
0x1F595	:middle finger:
0x1F447	:backhand index pointing down:
0x261D	:index pointing up:
0x1F44D	:thumbs up:
0x1F44E	:thumbs down:
0x270A	:raised fist:
0x1F44A	:oncoming fist:
0x1F91B	:left-facing fist:
0x1F91C	:right-facing fist:
0x1F44F	:clapping hands:
0x1F64C	:raising hands:
0x1F450	:open hands:
0x1F932	:palms up together:
0x1F91D	:handshake:
0x1F64F	:folded hands:
0x270D	:writing hand:
0x1F485	:nail polish:
0x1F933	:selfie:
0x1F4AA	:flexed biceps:
0x1F9BE	:⊛ mechanical arm:
0x1F9BF	:⊛ mechanical leg:
0x1F9B5	:leg:
0x1F9B6	:foot:
0x1F442	:ear:
0x1F9BB	:⊛ ear with hearing aid:
0x1F443	:nose:
0x1F9E0	:brain:
0x1F9B7	:tooth:
0x1F9B4	:bone:
0x1F440	:eyes:
0x1F441	:eye:
0x1F445	:tongue:
0x1F444	:mouth:
0x1F476	:baby:
0x1F9D2	:child:
0x1F466	:boy:
0x1F467	:girl:
0x1F9D1	:person:
0x1F471	:person: blond hair:
0x1F468	:man:
0x1F9D4	:man: beard:
0x1F471 0x200D 0x2642 0xFE0F	:man: blond hair:
0x1F468 0x200D 0x1F9B0	:man: red hair:
0x1F468 0x200D 0x1F9B1	:man: curly hair:
0x1F468 0x200D 0x1F9B3	:man: white hair:
0x1F468 0x200D 0x1F9B2	:man: bald:
0x1F469	:woman:
0x1F471 0x200D 0x2640 0xFE0F	:woman: blond hair:
0x1F469 0x200D 0x1F9B0	:woman: red hair:
0x1F469 0x200D 0x1F9B1	:woman: curly hair:
0x1F469 0x200D 0x1F9B3	:woman: white hair:
0x1F469 0x200D 0x1F9B2	:woman: bald:
0x1F9D3	:older person:
0x1F474	:old man:
0x1F475	:old woman:
0x1F64D	:person frowning:
0x1F64D 0x200D 0x2642 0xFE0F	:man frowning:
0x1F64D 0x200D 0x2640 0xFE0F	:woman frowning:
0x1F64E	:person pouting:
0x1F64E 0x200D 0x2642 0xFE0F	:man pouting:
0x1F64E 0x200D 0x2640 0xFE0F	:woman pouting:
0x1F645	:person gesturing NO:
0x1F645 0x200D 0x2642 0xFE0F	:man gesturing NO:
0x1F645 0x200D 0x2640 0xFE0F	:woman gesturing NO:
0x1F646	:person gesturing OK:
0x1F646 0x200D 0x2642 0xFE0F	:man gesturing OK:
0x1F646 0x200D 0x2640 0xFE0F	:woman gesturing OK:
0x1F481	:person tipping hand:
0x1F481 0x200D 0x2642 0xFE0F	:man tipping hand:
0x1F481 0x200D 0x2640 0xFE0F	:woman tipping hand:
0x1F64B	:person raising hand:
0x1F64B 0x200D 0x2642 0xFE0F	:man raising hand:
0x1F64B 0x200D 0x2640 0xFE0F	:woman raising hand:
0x1F9CF	:⊛ deaf person:
0x1F9CF 0x200D 0x2642 0xFE0F	:⊛ deaf man:
0x1F9CF 0x200D 0x2640 0xFE0F	:⊛ deaf woman:
0x1F647	:person bowing:
0x1F647 0x200D 0x2642 0xFE0F	:man bowing:
0x1F647 0x200D 0x2640 0xFE0F	:woman bowing:
0x1F926	:person facepalming:
0x1F926 0x200D 0x2642 0xFE0F	:man facepalming:
0x1F926 0x200D 0x2640 0xFE0F	:woman facepalming:
0x1F937	:person shrugging:
0x1F937 0x200D 0x2642 0xFE0F	:man shrugging:
0x1F937 0x200D 0x2640 0xFE0F	:woman shrugging:
0x1F468 0x200D 0x2695 0xFE0F	:man health worker:
0x1F469 0x200D 0x2695 0xFE0F	:woman health worker:
0x1F468 0x200D 0x1F393	:man student:
0x1F469 0x200D 0x1F393	:woman student:
0x1F468 0x200D 0x1F3EB	:man teacher:
0x1F469 0x200D 0x1F3EB	:woman teacher:
0x1F468 0x200D 0x2696 0xFE0F	:man judge:
0x1F469 0x200D 0x2696 0xFE0F	:woman judge:
0x1F468 0x200D 0x1F33E	:man farmer:
0x1F469 0x200D 0x1F33E	:woman farmer:
0x1F468 0x200D 0x1F373	:man cook:
0x1F469 0x200D 0x1F373	:woman cook:
0x1F468 0x200D 0x1F527	:man mechanic:
0x1F469 0x200D 0x1F527	:woman mechanic:
0x1F468 0x200D 0x1F3ED	:man factory worker:
0x1F469 0x200D 0x1F3ED	:woman factory worker:
0x1F468 0x200D 0x1F4BC	:man office worker:
0x1F469 0x200D 0x1F4BC	:woman office worker:
0x1F468 0x200D 0x1F52C	:man scientist:
0x1F469 0x200D 0x1F52C	:woman scientist:
0x1F468 0x200D 0x1F4BB	:man technologist:
0x1F469 0x200D 0x1F4BB	:woman technologist:
0x1F468 0x200D 0x1F3A4	:man singer:
0x1F469 0x200D 0x1F3A4	:woman singer:
0x1F468 0x200D 0x1F3A8	:man artist:
0x1F469 0x200D 0x1F3A8	:woman artist:
0x1F468 0x200D 0x2708 0xFE0F	:man pilot:
0x1F469 0x200D 0x2708 0xFE0F	:woman pilot:
0x1F468 0x200D 0x1F680	:man astronaut:
0x1F469 0x200D 0x1F680	:woman astronaut:
0x1F468 0x200D 0x1F692	:man firefighter:
0x1F469 0x200D 0x1F692	:woman firefighter:
0x1F46E	:police officer:
0x1F46E 0x200D 0x2642 0xFE0F	:man police officer:
0x1F46E 0x200D 0x2640 0xFE0F	:woman police officer:
0x1F575	:detective:
0x1F575 0xFE0F 0x200D 0x2642 0xFE0F	:man detective:
0x1F575 0xFE0F 0x200D 0x2640 0xFE0F	:woman detective:
0x1F482	:guard:
0x1F482 0x200D 0x2642 0xFE0F	:man guard:
0x1F482 0x200D 0x2640 0xFE0F	:woman guard:
0x1F477	:construction worker:
0x1F477 0x200D 0x2642 0xFE0F	:man construction worker:
0x1F477 0x200D 0x2640 0xFE0F	:woman construction worker:
0x1F934	:prince:
0x1F478	:princess:
0x1F473	:person wearing turban:
0x1F473 0x200D 0x2642 0xFE0F	:man wearing turban:
0x1F473 0x200D 0x2640 0xFE0F	:woman wearing turban:
0x1F472	:man with Chinese cap:
